Unnamed: 0,hr_state,sysbp_state,glucose_state,oxygen_state,diabetes_state,antibiotic_state,vaso_state,vent_state,Action_taken,beh_p_0,beh_p_1,beh_p_2,beh_p_3,beh_p_4,beh_p_5,beh_p_6,beh_p_7
0,0,0,0,0,0,0,0,0,2,0.01852955,0.04774374,0.31192487,0.1194631,0.14236897,0.048543323,0.27557015,0.035856295
1,0,0,0,0,0,0,0,1,2,0.0064981966,0.02552986,0.5206138,0.106690235,0.06045862,0.026917959,0.22414066,0.029150711
2,0,0,0,0,0,0,1,0,6,0.01137469,0.04941569,0.28711528,0.21134324,0.026215633,0.046318907,0.3228276,0.04538896
3,0,0,0,0,0,0,1,1,2,0.0039461865,0.027202753,0.45979023,0.18167198,0.009745199,0.027328866,0.25800794,0.0323068
4,0,0,0,0,0,1,0,0,6,0.057855662,0.043371413,0.23557754,0.049386363,0.23028103,0.04101777,0.32451522,0.017995046
5,0,0,0,0,0,1,0,1,2,0.021878261,0.026615996,0.43827194,0.049558204,0.11338611,0.025938254,0.30590296,0.018448273
6,0,0,0,0,0,1,1,0,6,0.04313016,0.05170798,0.26749542,0.10429313,0.046509273,0.047479976,0.40815595,0.03122805
7,0,0,0,0,0,1,1,1,2,0.014801292,0.029947516,0.43964222,0.09308233,0.018642893,0.029185977,0.34897754,0.025720237
8,0,0,1,0,0,0,0,0,3,0.038520027,0.02800114,0.2600169,0.39470774,0.06847315,0.027372954,0.08846473,0.09444329
9,0,0,1,0,0,0,0,1,2,0.014167118,0.016409595,0.40874547,0.36493888,0.027116805,0.01728946,0.070432566,0.0809002
10,0,0,1,0,0,0,1,0,3,0.017251587,0.024028035,0.19869278,0.55212134,0.009826111,0.02056435,0.08883139,0.08868444
11,0,0,1,0,0,0,1,1,3,0.0065489034,0.014602347,0.31464678,0.5064234,0.003660594,0.013791927,0.072232835,0.06809311
12,0,0,1,0,0,1,0,0,0,0.25439653,0.028750204,0.1877796,0.1992871,0.14302883,0.028448578,0.089855425,0.068453744
13,0,0,1,0,0,1,0,1,2,0.107075535,0.02128557,0.374461,0.22902253,0.07407243,0.022326276,0.094038606,0.077718034
