Unnamed: 0,hr_state,sysbp_state,glucose_state,oxygen_state,diabetes_state,antibiotic_state,vaso_state,vent_state,Action_taken,beh_p_0,beh_p_1,beh_p_2,beh_p_3,beh_p_4,beh_p_5,beh_p_6,beh_p_7
0,0,0,0,0,0,0,0,0,6,0.009310732,0.07625985,0.23092592,0.1563464,0.02998198,0.082136154,0.25919828,0.15584068
1,0,0,0,0,0,0,0,1,6,0.0007614813,0.03751293,0.36382756,0.08661716,0.004019021,0.04687879,0.36917052,0.091212556
2,0,0,0,0,0,0,1,0,2,0.0077348696,0.070185244,0.27140522,0.21546762,0.008341332,0.08418985,0.19866802,0.14400782
3,0,0,0,0,0,0,1,1,2,0.00081923616,0.03670193,0.45333323,0.13806997,0.0012054315,0.05171911,0.25041813,0.06773301
4,0,0,0,0,0,1,0,0,6,0.020210044,0.06451832,0.1992833,0.11281759,0.021153491,0.06865064,0.28737777,0.22598876
5,0,0,0,0,0,1,0,1,6,0.001596501,0.033860385,0.3051833,0.061263967,0.0020317645,0.040694296,0.36811453,0.18725516
6,0,0,0,0,0,1,1,0,6,0.018308304,0.06320565,0.22532481,0.11401412,0.0057103587,0.069523595,0.26324263,0.24067052
7,0,0,0,0,0,1,1,1,2,0.001984237,0.036088996,0.3686089,0.073051125,0.00063797063,0.045157127,0.30973136,0.16474023
8,0,0,1,0,0,0,0,0,3,0.0026870419,0.017467398,0.13707884,0.6681066,0.005576137,0.019852947,0.05754509,0.09168601
9,0,0,1,0,0,0,0,1,3,0.00044663795,0.012431186,0.2343876,0.571672,0.0013281559,0.016988985,0.083847255,0.078898184
10,0,0,1,0,0,0,1,0,3,0.001289164,0.013125141,0.121142395,0.76175785,0.0011078569,0.016732026,0.02880297,0.056042567
11,0,0,1,0,0,0,1,1,3,0.0002182156,0.00861251,0.18370691,0.72851664,0.00024944782,0.013159595,0.030711977,0.034824703
